title,index,page,about,ingridients,preparation,nutrition per 100g of recipe,energy(kcal),fat(g),carbohydrates(g),proteins(g),fibre(g),vitamin A(mcg),iron(mg),zinc(mg),F_factor_est
"Nyenyi
 (Mashed Pigeon Peas & Green Maize)",15118,130,"?Nyenyi? is a traditional delicacy among the Embu community. It is made of green maize mashed with potatoes and pigeon peas. It is eaten during lunch and dinner by the entire family. Sometimes, the left-over
of this dish is eaten as breakfast. Traditionally, this dish was eaten dry but in modern times it is eaten with
variety of stews.","pigeon peas
potatoes
pumpkin leaves
maize cobs with kernels
salt
margarine
water","Preparation 10 minutes | Cooking 3 hours | Serves 4
?  Sort and wash the pigeon peas. Put into a pot with
23 cups of water and cover.
?  Boil to cook for 2 hours.
?  Expose the maize kernels by pulling back the husks
and carefully remove the silk.
?  Remove kernels from the cobs by hand in rows or
use a corn zipper.
?  Wash the maize and add to the boiling pigeon
peas. Continue boiling until both are tender and
ready.
?  Remove from heat, drain any remaining water and
put into a bowl.
?  Meanwhile, prepare and cut the potatoes.
?  Remove the pumpkin stalks, wash and cut the
pumpkin leaves and hand blend with salt.
?  Put the cut potatoes, salted pumpkin leaves,
followed by the boiled pigeon peas-maize mixture
into a cooking pot.
?  Add the rest of the water, cover and cook until the
potatoes are ready and soft.
?  Add margarine, remove from heat and mash
?  Serve while hot.","Energy 524 kJ/ 125 kcal | Fat 2.3 g | Carbohydrates 17.8 g | Protein 4.9 g | Fibre 6.5 g
Vitamin A 23 mcg | Iron 1.8 mg |  Zinc 0.89 mg",125,2.3,17.8,4.9,6.5,23,1.8,0.89,0.5
Ashir(maize),15049,134,"This dish is typical to the Borana?s. A delicious meal of huskless maize mixed with milk. The husks are
removed prior to cooking by pounding with a mortar and pestle. The mixture is boiled with added sugar
and salted for a tantalizing taste.","pounded maize
cow milk
sugar
salt
water","Preparation 10 minutes ? Cooking 2 hours 15 minutes ? Serves 4
?  Sort and wash the pounded maize.
?  Put all the water in the cooking pot and add the
pounded maize.
?  Put it on heat and boil.
?  Boil for 2 hours, remove from heat and strain excess water.
?  After draining water put back on the heat, add salt,
sugar, milk and stir.
?  Simmer for 10 minutes and serve.","Energy 529 kJ/ 125 kcal |  Fat 0.9 g  | Carbohydrates 25.8 g  | Protein 2.7 g |  Fibre 1.2 g  
Vitamin A 5 mcg |  Iron 0.2 mg  | Zinc 0.21 mg",125,0.9,25.8,2.7,1.2,5,0.2,0.21,0.5
"Githeri
(Fresh Beans and Maize)",15060,136,"Stewed fresh maize and beans is commonly known as Githeri. This is a variant of the Githeri dishes that
uses fresh maize and beans. It is popular among communities in agricultural areas such as Eastern, Central
and Western. This recipe is common during the season when maize and beans are green about a month
to harvesting. It is usually served as a main dish in most communities and as a breakfast dish among the
Luhya communities.","green maize cobs with kernels
bean pods
water
spring onion
cooking fat
salt
","Preparation 2 hours | Cooking 20 minutes | Serves 4
Preparation:
?  Remove fresh beans from pods. Put in a bowl or
container.
?  Remove maize cobs with kernels from the husks.
?  Remove maize kernels from the cobs by hand.
?  Mix and wash the maize and beans.
?  Boil in 9 1/4 cups of water for 2 hours until cooked.
?  Prepare the onions and chop into a separate bowl.
?  Stewing:
?  Heat cooking fat into a pan and add the spring
onions.
?  Cook the spring onions until they soften.
?  Add the boiled maize-beans mixture. Cover with a
pan.
?  Add salt and continue cooking while stirring periodically.
?  Once ready, remove from fire and serve.","Energy 751 kJ/ 180 kcal  | Fat 7.6 g | Carbohydrates 15.1 g | Protein 7.8 g | Fibre 10.4 g
Vitamin A 6 mcg | Iron 1.7 mg | Zinc 1.21 mg",180,7.6,15.1,7.8,10.4,6,1.7,1.21,0.5
"Githeri
(Stewed Maize & Beans)",15053,138,"This is yet another variant of githeri. It is mainly prepared using dry maize and beans. It is common among
most communities in Western, Central, Eastern and Rift Valley parts of Kenya. This variant of githeri is one
among the most common staples in Kenya. It is mostly eaten as a main dish during lunch time and dinner
by the entire family. It is well balanced in nutrients and is considered complete on its own.","maize and beans
onion
cooking oil
salt
water","Preparation 10 minutes | Cooking 15 minutes | 
Serves 4
?  Measure 11 cups of previously boiled maize and beans
mixture (the ratio of maize to beans is 1:2).
?  Prepare, wash and chop the onion.
?  Pour oil in a cooking pot over fire, add onions and
cook for 2 minutes and add salt.
?  Add the boiled maize-bean mixture.
?  Stir and add 1 3/4 cups water.
?  Cover and let the mixture to cook for 10 minutes.
?  Serve while hot","Energy 661 kJ/ 157 kcal |  Fat 4.2 g  | Carbohydrates 19.7 g  | Protein 6.7 g  | Fibre 7.2 g  
Vitamin A 0 mcg |  Iron 2.2 mg | Zinc 1.01 mg",157,4.2,19.7,6.7,7.2,0,2.2,1.01,0.5
"Githeri 
(Sauted Fresh Maize & Beans)",15055,140,"Another common variant of Githeri is this one that is prepared with fresh maize and dry beans. It is mainly
eaten among communities that grow maize and is common during the green maize season. This is eaten
as a main family dish and served during lunch and dinner","green maize cobs with kernels
kidney beans
water
onion
cooking fat
salt","Preparation 5 hours 30 minutes | Cooking 10 
minutes | Serves 4 
 
?  Remove husks from the maize.
?  Remove the maize kernels into a bowl.
?  In the meantime, measure the required amount of
beans and set aside to soak in 14 cups of water for
2 hours 15 minutes.
?  Drain and discard the water.
?  Add the rest of the water into a cooking pot, add
the soaked beans and fresh maize.
?  Place the cooking pot over fire and leave it to boil
until it is cooked, and all the water dries up (about
3 hours).
?  Set aside.
Stewing:
?  Cut onion and put into a pot with cooking oil.
?  Cook the onions until golden brown.
?  Add the boiled maize and bean mixture.
?  Add salt and keep mixing until ready in about 10
minutes.
?  Remove and serve.","Energy 773 kJ/ 185 kcal |  Fat 7.2 g  | Carbohydrates 17.8 g  | Protein 6.9 g | Fibre 10.5 g  
Vitamin A 2 mcg |  Iron 2.2 mg |  Zinc 1.32 mg",185,7.2,17.8,6.9,10.5,2,2.2,1.32,0.5
"Muthokoi
(Dehulled Maize and Beans)",15086,142,"This is a traditional dish typical among the Kamba, Taita and Meru communities. The Borana have this dish
by the name Ashir but it?s preparation is unique to their community. The recipe is prepared from dehulled
maize which is boiled together with dry beans. Once stewed it gives a delicious smooth taste. It is mainly
eaten as a main dish during lunch or dinner.","maize
beans
water
onion
cooking fat
vegetable fat
salt
","Preparation:
?  Put the maize and beans into a pot and boil in all
the water for 2 hours 30 minutes or until cooked.
?  Drain and keep the remaining water.
?  Peel, wash and chop the onion into a separate
bowl.
Stewing:
?  Heat oil in a cooking pot for 1 minute.
?  Add the chopped onions and cook until soft.
?  Add muthokoi and salt; stir to mix.
?  Add the water drained from the boiled muthokoi.
?  Cover to cook for 3-5 minutes.
?  Turn off the heat.
?  Serve.","Energy 677 kJ/ 161 kcal  | Fat 5.9 g  | Carbohydrates 19.8 g |  Protein 5 g  | Fibre 4.6 g
Vitamin A 0 mcg |  Iron 1.3 mg |  Zinc 0.59 mg",161,5.9,19.8,5,4.6,0,1.3,0.59,0.5
"Nchenga/ Nzenga 
(Crushed Maize)",15093,144,"This ancient dish has been a delicacy among the Kamba, Taita and Meru communities for many years as a
rice substitute. The maize is crushed to small size to mimic the size of rice grain, then it is carefully prepared to yield a rice-like dish with a distinct taste. Traditionally, it was eaten on its own or a legume stew
and could also be prepared with a variety of ingredients including meats, legumes or vegetables. It is
eaten by the entire family","crushed maize
onion
carrot
cooking fat
salt
water","Preparation 10-15 minutes | Cooking 1 hour | Serves 4
?  Wash the crushed maize and boil in all the water until
soft.
?  Peel the carrot and grate. Wash, peel and chop the
onion.
?  Melt the cooking fat in a pot. Add onion and cook
until golden brown.
?  Add the grated carrot, salt and stir for 2-3 minutes.
?  Add the boiled crushed maize, stir and cover to cook
for 2-5 minutes.
?  Turn off the heat.
?  Serve hot","Energy 542 kJ/ 129 kcal |  Fat 3.9 g |  Carbohydrates 20.3 g |  Protein 2.2 g  | Fibre 1.8 g  
Vitamin A 87 mcg |  Iron 0.3 mg  | Zinc 0.16 mg",129,3.9,20.3,2.2,1.8,87,0.3,0.16,0.5
"Mchuzi wa Maharagwe
(Bean Stew)",15045,148,"The ancient bean stew is chief among the legume stews in Kenya. Different varieties of beans are used to
prepare bean stew by different communities depending on availability. Most communities in Kenya utilize
bean stew as an accompaniment to starchy dishes such as Ugali, rice or chapatti. It is commonly eaten for
lunch or dinner.","beans
water
tomato
onion
cooking oil
salt
coriander","Preparation 2 hours 40 minutes | Cooking 30 minutes | 
Serves 4
?  Boil all the beans in 9 cups of water for 2 hours 30
minutes.
?  Prepare and cut the vegetables (coriander leaves, tomatoes and onions) into small pieces in separate bowls.
?  In a pot, add 1/4 cup of oil and turn on the heat.
?  Add the onions and cook for 7 minutes in a covered
pan on low heat.
?  After 10 minutes, add the tomatoes and cook while
stirring to mix.
?  Add the coriander leaves and mix then add the beans.
?  Add 1 3/4 cups of water followed by 1 tbsp. salt and
cover the pot for 5 minutes. Stir to mix.
?  Cover the vessel and cook for 4 minutes.
?  Serve hot","Energy 263 kJ/ 63 kcal  | Fat 1.4 g |  Carbohydrates 7.2 g  | Protein 3.5 g  | Fibre 3.7 g  
Vitamin A 4 mcg |  Iron 1.0 mg |  Zinc 0.44 mg",63,1.4,7.2,3.5,3.7,4,1,0.44,0.5
"Mchuzi wa Ndengu Kamande
(Lentil Stew)",15046,150,"Lentil stew is made from lentil grains which give a characteristic taste to the dish. It is quite aromatic and
provides the desired fragrance as an accompaniment to starch dishes such as rice and chapatti. It is usually served during lunch or dinner and is common in most parts of the country","lentils
water
onions
tomato
cooking oil
salt
","Preparation:
?  Sort and wash all the dry lentils. Put in a cooking
pot and boil in 9 cups of water for 1 hour.
?  Remove from heat and set aside.
?  Wash and cut tomatoes and onions in separate
bowls.
Stewing:
?  Add cooking oil into the vessel and heat for 1
minute.
?  Add onions and cook for 6 minutes.
?  Add tomatoes and salt.
?  Cook for 7 minutes while stirring to mix.
?  Add the pre-boiled lentils and mix.
?  Add 2 2/3 cups of water.
?  Cover the vessel and cook for 6 minutes.
?  Remove from heat and serve.","Energy 455 kJ/ 108 kcal |  Fat 3.0 g |  Carbohydrates 11.1 g  | Protein 7.1 g |  Fibre 4.5 g  
Vitamin A 3 mcg |  Iron 2.0 mg | Zinc 0.93 mg",108,3,11.1,7.1,4.5,3,2,0.93,0.5
"Mchuzi wa Ndengu 
(Green Gram Stew)",15044,152,"Green gram stew is one of the most common legume stews in Kenya. Eaten across the country, it serves
as an accompaniment to starches such as Ugali, rice or chapatti. Sometimes green grams (or Ndengu
as they are commonly known) are used as a key ingredient in making rice dishes as well as mashed with
infant dishes","green gram
water
onion
tomato
cooking oil
salt
","Preparation:
?  Sort and wash all the green grams.
?  Add the raw green grams to a cooking pot and
boil in 8 cups of water for 51 minutes.
?  Drain and discard the excess water.
?  Peel, wash and chop the onion and tomatoes.
Stewing:
?  Add oil to a cooking pot and heat for 2 minutes.
Add the onions.
?  Cook onions for 3 minutes and then add the tomatoes.
?  Cook for another 3 minutes and then add the
boiled green grams.
?  Add 2 3/4 cups of water. Add salt and mix.
?  Cover the vessel and cook for 14 minutes.
?  Remove from heat and serve.","Energy 454 kJ/ 109 kcal  | Fat 4.2 g  | Carbohydrates 9.3 g |  Protein 6.3 g  | Fibre 4.0 g  
Vitamin A 4 mcg |  Iron 1.6 mg  | Zinc 0.57 mg",109,4.2,9.3,6.3,4,4,1.6,0.57,0.5
"Bean Stew with 
Milk & Cream",15115,154,"This dish is very typical to the Kalenjin community. It is usually served with a starch such as rice or Ugali
and serves as a main meal for the whole family during lunch or dinner.","beans
water
spring onion
tomato
cooking oil
cow milk,
cow cream
salt","Preparation 10 minutes | Cooking 2 hours 30 minutes 
| Serve 4
?  Sort and wash the beans and put into a cooking pot.
Add all the water.
?  Bring to a boil and cook until the beans are soft and
ready. Drain and discard the excess water.
?  Meanwhile, wash and chop the onion and tomatoes
into separate bowls.
?  In a separate cooking pot, heat oil, add the onions
and fry until tender.
?  Add tomatoes and salt and cook until the tomatoes
are tender.
?  Add the boiled beans, stir and cover. Cook for 2-5
minutes.
?  Add milk and cream, stir, cover and cook for 10
minutes.
?  Remove and serve.","Energy 584 kJ/ 139 kcal  | Fat 4.5 g |  Carbohydrates 14.3 g  | Protein 7.2 g  | Fibre 6.7 g  
Vitamin A 25 mcg |  Iron 1.9 mg |  Zinc 0.96 mg",139,4.5,14.3,7.2,6.7,25,1.9,0.96,0.5
"Black Bean Stew
(Njahi/Dolichos Bean Stew)",15114,156,"Black bean stew popularly known as Njahi stew, is common among the Kikuyu, Kisii, Meru, Embu and
Luhya communities. It is usually used as an accompaniment to a starch dish such as Ugali, Chapati or rice.
Traditionally, this was a preserve of lactating moms as ?njahis? were believed to enhance milk production.","black beans, dolichos 
onions
tomato
cooking oil
salt
water","Preparation 10-15 | Cooking 3 hours 15 minutes | 
Serves 4
?  Sort the black beans and wash. Put the washed
beans into a cooking pot and add 26 cups of water.
?  Cook until ready or soft.
?  Remove from heat and drain the excess water from
the boiled black beans.
?  Meanwhile, peel, wash and cut the onion and the
tomatoes.
?  Put oil in a cooking pot and heat for 2 minutes. Add
onions and fry until tender.
?  Add tomatoes, salt and cook until tender.
?  Add the boiled black beans and simmer for 4 minutes.
?  Add the rest of the water and simmer for 6 minutes.
?  Remove from heat.
?  Serve as desired.","Energy 261 kJ/ 62 kcal | Fat 1.3 g | Carbohydrates 7.7 g | Protein 3.6 g | Fibre 2.8 g
Vitamin A 3 mcg | Iron 1.2 mg | Zinc 0.42 mg",62,1.3,7.7,3.6,2.8,3,1.2,0.42,0.5
"Mchuzi wa Mbaazi
(Pigeon Peas Stew)",15092,158,"Commonly known as ?mbaazi? stew, this recipe is common among the Kamba community. It is eaten with
starchy meals such as Ugali, rice or chapatti and often served during lunch or dinner. Other farming communities also utilize this recipe in a similar manner.","pigeon pea
onion
tomatoes
cooking fat
salt
water","Preparation 10 minutes | Cooking 2 hours 40 minutes | Serves 4
?  Boil all the pigeon peas in all the water.
?  Cook until ready or when the peas soften.
?  Strain the water and keep; set aside the peas separately.
?  Wash and chop the onions the tomatoes.
?  Heat cooking fat in a cooking pot for 1 minute, add
onions and cook until they turn golden brown.
?  Add tomatoes, stir and cook until tender.
?  Add the pigeon peas, stir and cook for 3-5 minutes.
?  Add salt, water drained from the pigeon peas and
stir.
?  Cover and bring to a boil for 3-5 minutes.
?  Turn off the heat.
?  Serve","Energy 494 kJ/ 118 kcal |  Fat 4.4 g | Carbohydrates 11.0 g | Protein 5.7 g | Fibre 6.1 g
Vitamin A 8 mcg | Iron 1.4 mg | Zinc 0.74 mg",118,4.4,11,5.7,6.1,8,1.4,0.74,0.5
"Firinda
(Skinned Bean Stew)",15142,160,"Firinda is a dish unique to the Nubian community. It is specially made by skinning boiled beans then saut?d in spring onions. It is a popular accompaniment to starchy dishes like Ugali, mkate kuta and rice. It is
served mainly during lunch and dinner to the entire family","beans
cooking oil
water
salt,
spring onions
","Preparation 3 hours 15 minutes | Cooking 2 hours | 
Serves 4
?  Sort and wash the beans.
?  Soak in 14 cups of warm water for 3 hours.
?  Drain the water soaking the beans.
?  Remove and discard the skin.
?  Put the beans into a cooking pot, add the rest of the
water and bring to a boil for 2 hours.
?  Meanwhile, peel, wash and chop the spring onion.
?  Add the chopped onions, oil and salt into the boiling
beans.
?  Continue boiling until the beans are tender and well
cooked.
?  Serve.","Energy 390 kJ/ 93 kcal | Fat 2.3 g | Carbohydrates 10.2 g | Protein 5.2 g | Fibre 5.3 g
Vitamin A 2 mcg | Iron 1.6 mg | Zinc 0.70 mg",93,2.3,10.2,5.2,5.3,2,1.6,0.7,0.5
"Ndoto
(Sauted Red Kidney Beans & Red Sorghum)",15085,162,Ndoto is a traditional dish among the Taita community. It was prepared during ?Kuaikwa? (the Taita traditional initiation ceremony for girls to prepare them for marriage). It was also prepared during weddings.,"red sorghum
kidney beans
water
salt
onions
cooking oil","Preparation:
?  Sort the beans. Wash and put on the fire in 21
cups of water. Let the beans boil until cooked
(2 hours 30 minutes).
?  As the beans are boiling, sort out the red sorghum.
?  Once beans are ready, wash the red sorghum
and add it into the mixture with the remaining
water.
?  Let the red sorghum boil until cooked (2 hours
50 minutes). Cook until all the liquid is almost
dry. Remove from fire.
Frying:
?  Peel and chop the onion.
?  Put in a pot with the cooking oil and fry onion
until golden brown.
?  Add the boiled red sorghum, red kidney beans
and salt.
?  Cook for 6 minutes and remove from fire.","Energy 806 kJ/ 193 kcal | Fat 7.9 g | Carbohydrates 21.3 g | Protein 5.7g | Fibre 7.0 g
Vitamin A 0 mcg | Iron 1.8 mg | Zinc 0.89 mg",193,7.9,21.3,5.7,7,0,1.8,0.89,0.5
"Fiqe
(Red Sorghum, Beans and Teff Flour)",15040,164,"A mixture of sorghum flour and cooked beans stirred together as a paste and until firm. It is best enjoyed
with a strong cup of black tea. Eaten by everybody. Can also be made with maize flour or any other grain
flour. Traditionally, a bean and ghee must be added. In modern time normal cooking oil is used.","beans kidney
red sorghum flour
teff flour
sukumawiki leaves
salt
ghee
water","Preparation 10 minutes | Cooking 2 hours 45 minutes | Serves 4
?  Boil beans in 8 2/3 cups of water until cooked (1
hour).
?  Wash and cut the sukuma wiki.
?  Add diced sukuma wiki into the boiled beans in the
same cooking pot and cook for 20 minutes.
?  In a separate bowl, mix the teff flour and the red
sorghum flour together.
?  Add the mixed flour into the mixture of beans and
kale. Add salt and stir gently until evenly mixed.
?  Add ghee after 20 minutes and continue mixing for
10 minutes.
?  Serve hot","Energy 807 kJ/ 192 kcal | Fat 5.8 g | Carbohydrates 24.2 g | Protein 7.2 g | Fibre 7.4 g
Vitamin A 82 mcg  | Iron 3.5 mg | Zinc 1.40 g",192,5.8,24.2,7.2,7.4,82,3.5,1.4,0.5
Beef Stew,15087,168,"Beef stew is the most common animal protein based stew in Kenya. It is prepared in different ways with
the standard ingredients featured in this recipe. It is usually eaten with starchy dishes such as Ugali, rice,
potatoes, chapatti or mashed dishes. It is more common in urban areas than in rural areas. Often, it is
served for lunch or dinner and is relished by the entire family","beef
onions
tomato
salt
cooking oil
water","Preparation 10 minutes | Cooking 25 minutes | 
Serve 4
?Peel, wash and chop the onions and the tomatoes into separate bowls.
?Cut beef into small pieces and wash.
?Boil the meat in all the water until tender. Turn
off the heat, strain the remaining water and
place the meat in a separate bowl.
?Heat cooking oil in a cooking pot for 1 minute.
?Add onions and cook until soft.
?Add tomatoes and salt and cook until soft
?Add the boiled meat and stir.
?Add the liquid drained from boiling the meat,
stir and cover to cook for 8 minutes.
?Turn off the heat.
?Serve.","Energy 756 kJ/ 181 kcal | Fat 10.4 g | Carbohydrates 3.8 g | Protein 17.7 g | Fibre 0.8 g
Vitamin A 14 mcg  | Iron 11.2 mg |  Zinc 3.48 mg",181,10.4,3.8,17.7,0.8,14,11.2,3.48,0.1
"Stir Fried 
Goat Meat",15099,170,"In most cases goat meat is stir fried rather than stewed. It is common in many communities across the
country. It is eaten with starchy dishes including rice, Ugali among others.","meat goat
onion
tomato
cooking oil
salt
water","Preparation 5-10 minutes | Cooking 1 hour 40 
minutes | Serves 4
?Cut the goat meat into small pieces.
?Add the meat, all the water and salt into a cooking pot. Bring the mixture to a boil.
?Meanwhile, prepare and cut the onions and tomatoes into separate bowls.
?Add the onions and continue boiling.
?When all the water has dried, add oil and stir.
?Add tomatoes and stir.
?Simmer until ready.
?Serve while hot","Energy 1,597 kJ/ 383 kcal |  Fat 23.3 g | Carbohydrates 10.4 g  | Protein 32.1 g |  Fibre 1.7 g  
Vitamin A 42 mcg |  Iron 4.1 mg  | Zinc 5.74 mg",383,23.3,10.4,32.1,1.7,42,4.1,5.74,0.1
Stir Fried Beef,15098,172,"Stir fried beef is common across many communities in Kenya even though it is more popular among urban
dwellers than rural dwellers. It is eaten with starchy foods such as Ugali, rice, potatoes or bananas. Often,
it is enjoyed by the entire family and served during lunch or dinner.","beef
water
onions
tomato
cooking oil
salt
","Preparation time 10 minutes | Cooking 1 hour | 
Serves 4
?Cut the beef into small pieces.
?Peel, wash and chop the onions and tomatoes into
separate bowls.
?Put the meat into a cooking pot, add 3 cups of
water and boil for 1 hour.
?Strain the remaining liquid and keep separately.
?Heat oil in a cooking pot, add onions and cook
until golden brown.
?Add tomatoes and cook until tender.
?Add salt and meat then stir and cook for 7-10
minutes.
?Add half of the strained water then stir and cover
to cook for 30 minutes.
?Add the rest of the strained water and cook until
all the water dries.
?Turn off the heat.
?Serve hot.","Energy 1,066 kJ/ 255 kcal  | Fat 14.1 g  | Carbohydrates 5.0 g  | Protein 26.7 g |  Fibre 1.0 g  
Vitamin A 19 mcg  | Iron 16.4 mg |  Zinc 5.13 mg",255,14.1,5,26.7,1,19,16.4,5.13,0.1
"Swahili Biryani Stew
(Swahili Spiced Beef Stew)",15066,174,"Biryani stew is a traditional delicacy of the Swahili community. It is made with meat and heavily spiced
to produce a rich tasty meal. This recipe is sometimes served during special occasions such as weddings
or other social ceremonies. It is eaten by the whole family and can be served for lunch or dinner usually
accompanied by a colourful biryani rice.","beef
onions
potatoes
tomato
tomato paste
coriander
capsicum
cooking oil
ginger
garlic
salt
pilau masala
maziwa mala
turmeric
water","Preparation 20 minutes | Cooking 1 hour 10 minutes | Serves 6
?Wash and cut the meat.
?Boil the meat in 1 cup of water for 20 minutes
until meat is tender.
?Prepare and put coriander, capsicum, garlic, ginger and tomatoes into a blender and blend to a
medium thick juice. Add 1 1/4 cups of water.
?Peel, wash and chop the onions into a separate
bowl.
?Put oil into a cooking pot and heat for 1 minute.
Add the chopped onions.
?Cook onions until golden brown.
?Add the blended paste and stir.
?Add meat, turmeric, tomato paste, potatoes,
pilau masala and salt.
?Cover and simmer until the potatoes are cooked
or soft.
?Add the fermented milk and continue to simmer
for 5 minutes.
?Stir and remove from fire.
?Serve with the biryani rice.","Energy 822 kJ/ 198 kcal |  Fat 14.3 g |  Carbohydrates 8.3 g  | Protein 8.1 g  | Fibre 1.9 g  
Vitamin A 24 mcg  | Iron 5.2 mg |  Zinc 1.58 mg",198,14.3,8.3,8.1,1.9,24,5.2,1.58,0.1
 Minced Meat Balls,15134,176,"This recipe is common in many urban communities in Kenya. It is usually made from minced meat with various types of fresh spices. It is usually served as an accompaniment with starchy dishes such as potatoes,
rice or spaghetti. As such it is eaten during lunch or dinner and enjoyed by the entire family","minced beef
water
onions
tomato
coriander
salt
cooking oil
cumin
curry
Royco-cubes
garlic
rice","Preparation 30 minutes | Cooking 1 hour 15 minutes 
| Serves 4
?Pound the minced meat in a mortar.
?Prepare and cut the onions as well as the tomatoes
and chop into two separate bowls.
?Divide the onion, garlic, cumin seed and coriander
in two equal portions. Mix and pound one half of
each divided ingredient and add into the pounded
meat.
?Add rice to the pounded mixture and crush the
grains.
?Fry the other half of onions in 1/2 cup of cooking oil
until they turn golden brown. Add salt and stir.
?Add tomatoes and all the water, and then simmer
until the tomatoes are tender.
?Pound the rest of the garlic, cumin seeds and coriander into the pounded meat.
?Work the meat with palms to form balls using 1/4 cup
of cooking oil.
?Add the meat balls into the simmering tomato soup.
?Add garlic, curry powder and Royco? cubes.
?Simmer for 30 minutes until the meat balls are ready","Energy 659 kJ/ 157 kcal |  Fat 5.4 g  | Carbohydrates 18.6 g |  Protein 8.1 g  | Fibre 0.8 g
Vitamin A 9 mcg  | Iron 4.4 mg  | Zinc 1.55 mg",157,5.4,18.6,8.1,0.8,9,4.4,1.55,0.1
Stewed Dried Fish,15082,178,"This dish is typical among the Luhya and Luo communities. It also commonly known as ?hivambala?Frequently, fish that is previously dried (usually split open manner) is stewed with tomatoes and onions. It
is mainly served with Ugali to the entire family either during lunch or dinner.","dry fish
tomato
onion
cooking oil
peanut butter
magadi
water","Preparation 15 minutes | Cooking time 25 minutes | Serves 4
?Soak the dried fish in 3/4 cup of warm water for
10 minutes.
?Chop the onion, cut the tomatoes and place
into separate bowls.
?Wash the dried fish in the soaking water and
drain the water.
??In a cooking pot, heat cooking oil, add the
onions and cook until they turn golden brown.
?Add peanut butter and the grated tomatoes
and cook for 3 minutes while stirring at intervals.
?Add 1g of magadi and cook for another 2
minutes.
?Add salt and the rest of the water and bring the
mixture to boil.
?Add the washed fish and cook for 10 minutes
or until ready.
?Remove from heat and serve.","Energy 1,374 kJ/ 330 kcal | Fat 23.2 g | Carbohydrates 3.9 g | Protein 25.7 g | Fibre 1.4 g
Vitamin A 0 mcg | Iron 2.1 mg | Zinc 1.02 mg",330,23.2,3.9,25.7,1.4,0,2.1,1.02,0.1
"Omena Stew
(Silver Sardine Stew)",15017,180,"?mena?s it is commonly known is a tiny fish mainly harvested at the Lake Victoria. As such it is a delicacy among the Luo community. However, other communities in Kenya have embraced it as a main protein
dish. It is mainly eaten with Ugali.","omena fish
onion
water
ghee
salt
tomato
milk
cooking oil","Preparation 15 minutes | Cooking 1 hour | Serves 4
?Sort the omena (do not wash).
?Into a clean pot, add omena, all the water and 1 tsp.
salt.
?Start the fire, cover the pot and boil for 40 minutes.
?Remove from fire, drain and discard the water.
?Wash and cut the onions, and tomatoes into separate bowls.
?Into a clean pot, add cut onions and cooking oil.
Cook for 10 minutes.
?Add tomatoes, cover and cook for 3 minutes.
?Add the remaining salt, mix, cover and cook for
another 2 minutes.
?Mash the tomatoes with a fork.
?Add the boiled omena and mix.
?Add the milk, mix and cover.
?Add ghee, mix and heat for 3 minutes.
?Cook for another 10 minutes.","Energy 747 kJ/ 180 kcal | Fat 13.3 g | Carbohydrates 6.0 g | Protein 8.8 g | Fibre 0.7 g
Vitamin A 52 mcg | Iron 1.0 mg | Zinc 2.26 mg",180,13.3,6,8.8,0.7,52,1,2.26,0.1
Fried Tilapia,15096,182,"Fried Tilapia is a delicacy that is traditionally relished among the Luo community. The current practice has
seen many other communities adopt this recipe particularly in urban areas. It is usually eaten with Ugali
and served during lunch or dinner to the entire family"," tilapia
cooking oil
salt 
","Preparation 10 minutes | Cooking 30 minutes | Serves 4
?Prepare and wash the fresh fish.
?Score the length of the fish and sprinkle salt on the surface.
?Put oil into the pan and heat.
?Put in the salted fish into the hot oil and fry until it
browns.
?Turn to cook the other side.
?Place on paper towel to drain the excess oil.","Energy 1821 kJ/ 437 kcal | Fat 28.1 g | Carbohydrates 0.3 g | Protein 45.7 g | Fibre 0.0 g
Vitamin A 24 mcg | Iron 6.2 mg | Zinc 1.16 mg",437,28.1,0.3,45.7,0,24,6.2,1.16,0.1
